iter	Passed	Remaining
0	52	15548
1	99	14846
2	147	14639
3	196	14531
4	244	14445
5	289	14173
6	335	14037
7	382	13962
8	430	13916
9	478	13867
10	524	13780
11	571	13723
12	618	13649
13	660	13494
14	703	13365
15	745	13236
16	790	13151
17	835	13082
18	880	13021
19	927	12990
20	977	12986
21	1029	13005
22	1077	12975
23	1124	12935
24	1170	12880
25	1217	12829
26	1264	12786
27	1314	12765
28	1363	12740
29	1412	12709
30	1461	12683
31	1508	12629
32	1551	12554
33	1595	12480
34	1639	12410
35	1682	12340
36	1737	12349
37	1787	12325
38	1832	12266
39	1874	12186
40	1918	12119
41	1962	12055
42	2008	12005
43	2054	11953
44	2097	11883
45	2140	11820
46	2188	11779
47	2233	11727
48	2280	11681
49	2327	11638
50	2374	11592
51	2423	11558
52	2469	11509
53	2514	11456
54	2559	11399
55	2601	11335
56	2645	11277
57	2690	11225
58	2733	11165
59	2776	11105
60	2819	11046
61	2862	10986
62	2906	10933
63	2949	10877
64	2995	10829
65	3037	10769
66	3080	10713
67	3125	10663
68	3168	10609
69	3213	10557
70	3257	10507
71	3304	10463
72	3353	10427
73	3403	10394
74	3461	10383
75	3507	10339
76	3552	10287
77	3594	10230
78	3636	10174
79	3678	10117
80	3720	10059
81	3762	10001
82	3804	9945
83	3845	9888
84	3888	9835
85	3932	9785
86	3977	9736
87	4035	9722
88	4079	9671
89	4124	9624
90	4172	9582
91	4218	9537
92	4263	9490
93	4310	9445
94	4358	9404
95	4408	9367
96	4455	9325
97	4502	9280
98	4546	9231
99	4592	9185
100	4636	9134
101	4680	9085
102	4720	9029
103	4761	8973
104	4802	8918
105	4843	8864
106	4885	8811
107	4927	8759
108	4968	8706
109	5014	8660
110	5057	8612
111	5100	8561
112	5145	8514
113	5190	8468
114	5235	8422
115	5281	8377
116	5329	8335
117	5374	8289
118	5421	8246
119	5466	8200
120	5510	8151
121	5553	8103
122	5596	8053
123	5639	8003
124	5683	7956
125	5727	7908
126	5772	7863
127	5814	7813
128	5857	7765
129	5900	7716
130	5944	7668
131	5988	7622
132	6032	7575
133	6076	7527
134	6119	7479
135	6164	7433
136	6210	7389
137	6256	7344
138	6303	7300
139	6351	7259
140	6399	7215
141	6447	7174
142	6492	7127
143	6536	7080
144	6579	7032
145	6621	6984
146	6663	6935
147	6705	6886
148	6747	6837
149	6789	6789
150	6832	6741
151	6875	6694
152	6921	6650
153	6965	6604
154	7011	6559
155	7055	6512
156	7098	6465
157	7140	6417
158	7186	6372
159	7196	6296
160	7204	6219
161	7212	6143
162	7255	6097
163	7296	6050
164	7342	6007
165	7387	5963
166	7435	5921
167	7482	5879
168	7527	5835
169	7574	5792
170	7617	5746
171	7658	5699
172	7690	5645
173	7731	5598
174	7765	5546
175	7805	5499
176	7847	5453
177	7890	5407
178	7931	5361
179	7972	5315
180	8017	5270
181	8060	5225
182	8104	5181
